,pair,rho,p_val
113,"('laterality', 'thickness_r')",0.6254990026101106,3.877161759991249e-82
112,"('laterality', 'thickness_sum')",0.49466488282625376,3.1118389591703983e-47
111,"('laterality', 'midlineshift')",-0.36466898702413775,7.548320259754808e-25
100,"('warfarin', 'inr')",0.34524053594092174,2.8024259298076645e-22
36,"('adm_mrs', 'age')",0.30495716973460724,1.689884658700067e-17
18,"('residence', 'age')",0.26500639094803086,1.9383382472266872e-13
27,"('mobility', 'age')",0.2523513582065436,2.754404011464773e-12
61,"('adm_hemiparesis', 'thickness_avg')",0.22366482555105785,6.701493573268314e-10
43,"('adm_mrs', 'thickness_avg')",0.2133227030584037,4.087343605574639e-09
62,"('adm_hemiparesis', 'thickness_max')",0.2011940124256583,3.0412828118414505e-08
44,"('adm_mrs', 'thickness_max')",0.19608151490737682,6.83490399829889e-08
115,"('laterality', 'thickness_avg')",-0.1957481827394723,7.200130285487205e-08
66,"('gcs_e', 'midlineshift')",-0.1897551652033635,1.8077608320002147e-07
54,"('adm_hemiparesis', 'age')",0.1876543167789496,2.479199495904423e-07
114,"('laterality', 'thickness_l')",-0.18588467860771693,3.225981343794881e-07
72,"('gcs_v', 'age')",-0.17946772396844615,8.207215859431555e-07
93,"('gcs_preop', 'midlineshift')",-0.17477161664864646,1.5921188408524287e-06
101,"('warfarin', 'platelet')",-0.16557597795829718,5.541969952407694e-06
144,"('anaesthetic', 'age')",0.15582076956604746,1.9367695378822123e-05
2,"('sex', 'platelet')",-0.15531073632416553,2.063538887185281e-05
75,"('gcs_v', 'midlineshift')",-0.1452983208283474,6.881266377287634e-05
40,"('adm_mrs', 'thickness_sum')",0.1365049961630626,0.0001861463698947522
31,"('mobility', 'thickness_sum')",0.13370939240326718,0.00025233932014181526
57,"('adm_hemiparesis', 'midlineshift')",0.13174783937697992,0.0003113052267763752
22,"('residence', 'thickness_sum')",0.13121714977459834,0.000329342131154705
32,"('mobility', 'thickness_r')",0.12731434657261653,0.0004951719900905819
84,"('gcs_m', 'midlineshift')",-0.1248189035540915,0.0006389116954752267
8,"('sex', 'thickness_max')",0.1231547055736395,0.0007553551447439422
99,"('warfarin', 'age')",0.11872730879518811,0.00116762263681716
122,"('density', 'thickness_r')",0.11713734748496483,0.0013605540826942023
20,"('residence', 'platelet')",0.11257170538881757,0.002089294066758795
125,"('density', 'thickness_max')",0.11242600987730327,0.002117563307487162
7,"('sex', 'thickness_avg')",0.11227191735195373,0.0021478423626878212
90,"('gcs_preop', 'age')",-0.10868892973449737,0.0029736077407829685
42,"('adm_mrs', 'thickness_l')",0.10844749724170571,0.00303850322298448
30,"('mobility', 'midlineshift')",-0.10787672486713655,0.0031970802027437026
39,"('adm_mrs', 'midlineshift')",0.10785023115960991,0.0032046205046369603
4,"('sex', 'thickness_sum')",0.10567219713908828,0.003882736179877167
121,"('density', 'thickness_sum')",0.10564089631461605,0.003893365338432658
21,"('residence', 'midlineshift')",-0.10553577747391817,0.003929254996587538
10,"('hospital', 'inr')",0.10549084467319735,0.003944687220121536
13,"('hospital', 'thickness_sum')",-0.10381364731282194,0.004561518754366252
26,"('residence', 'thickness_max')",0.09979237260488885,0.0064100119519494275
35,"('mobility', 'thickness_max')",0.09594426225556378,0.008782184208360244
17,"('hospital', 'thickness_max')",-0.09117084514664289,0.012792735663923888
25,"('residence', 'thickness_avg')",0.09067484650623044,0.01329053252566792
146,"('anaesthetic', 'platelet')",-0.08933905708251255,0.014717119113700038
124,"('density', 'thickness_avg')",0.08551996918805975,0.019564347973958108
51,"('adm_seizure', 'thickness_l')",-0.08433030790920988,0.021334824847287576
109,"('laterality', 'inr')",0.08400005693530507,0.021850361236429434
154,"('bedrest', 'inr')",0.0838571369695574,0.022076798305467663
49,"('adm_seizure', 'thickness_sum')",-0.08381645578804951,0.02214162334228478
45,"('adm_seizure', 'age')",-0.08312507666399202,0.02326886145340917
110,"('laterality', 'platelet')",-0.08196285196883167,0.0252759472264423
117,"('density', 'age')",0.08177244772153866,0.02561863114577322
59,"('adm_hemiparesis', 'thickness_r')",0.08024609821492808,0.028513558204206122
34,"('mobility', 'thickness_avg')",0.0791045726232528,0.030858466668135826
29,"('mobility', 'platelet')",0.07728538650039708,0.03493649733603425
108,"('laterality', 'age')",0.07430098741547587,0.04261948616235038
53,"('adm_seizure', 'thickness_max')",-0.07417410545530283,0.04297548482607594
58,"('adm_hemiparesis', 'thickness_sum')",0.073863471905336,0.043857645206703544
